TYPE,ITEM,PERIOD,DETAILS,STORAGE,ITEM_DESC
DIARY,Cheese,60.0,,REFRIGERATED, processed slices
DIARY,Eggs,35.0,,REFRIGERATED, in shell
DIARY,Margarine,30.0,,FROZEN,
DIARY,Milk,7.0,,REFRIGERATED, plain or flavored
SOY,Tofu,7.0,,REFRIGERATED,
PROCESSED_MEAT,Bacon,7.0,,REFRIGERATED,
PROCESSED_MEAT,Ham,270.0,,REFRIGERATED," canned (""keep refrigerated"" label)"
FRUIT,Apples,2.0,,SHELF,
FRUIT,Bananas,30.0,,SHELF,
VEGETABLES,Tomatoes,36.58,,SHELF,
SHELF_ITEM,Rice,730.0,unopened,SHELF, white or wild
BAKERY,Bread,4.0,,SHELF, commercial*
BEVERAGES,Juice in cartons,21.0,unopened,REFRIGERATED," fruit drinks, punch"
BEVERAGES,Juice in cartons,1.0,opened,REFRIGERATED," fruit drinks, punch"
BEVERAGES,Juice in cartons,30.0,,FROZEN," fruit drinks, punch"
DIARY,Butter,90.0,,REFRIGERATED,
DIARY,Butter,270.0,,FROZEN,
DIARY,Buttermilk,14.0,,REFRIGERATED,
DIARY,Buttermilk,90.0,,FROZEN,
DIARY,Cheese,180.0,unopened,REFRIGERATED," hard (such as cheddar,  swiss, block parmesan)"
DIARY,Cheese,180.0,,FROZEN," hard (such as cheddar,  swiss, block parmesan)"
DIARY,Cheese,28.0,opened,REFRIGERATED," hard (such as cheddar,  swiss, block parmesan)"
DIARY,Parmesan,30.0,opened,REFRIGERATED, shredded
DIARY,Parmesan,120.0,,FROZEN, shredded
DIARY,Shredded cheddar,30.0,,REFRIGERATED," mozzarella, etc."
DIARY,Shredded cheddar,120.0,,FROZEN," mozzarella, etc."
DIARY,Cheese,7.0,,REFRIGERATED," soft (such as Brie, Bel Paese)"
DIARY,Cheese,180.0,,FROZEN," soft (such as Brie, Bel Paese)"
DIARY,Cottage cheese,7.0,,REFRIGERATED, ricotta
DIARY,Cream cheese,14.0,,REFRIGERATED,
DIARY,Cream,30.0,,REFRIGERATED," whipping, ultrapasteurized"
DIARY,Whipped,1.0,,REFRIGERATED, sweetened
DIARY,Whipped,60.0,,FROZEN, sweetened
DIARY,Aerosol can,28.0,,REFRIGERATED, real whipped cream
DIARY,Aerosol can,90.0,,REFRIGERATED, nondairy topping
DIARY,Cream,4.0,,REFRIGERATED, half-and-half
DIARY,Cream,120.0,,FROZEN, half-and-half
DIARY,Dips,14.0,,REFRIGERATED, sour cream based
DIARY,Egg substitutes,1.0,unopened,REFRIGERATED, liquid
DIARY,Egg substitutes,3.0,opened,REFRIGERATED, liquid
DIARY,Eggnog,5.0,,REFRIGERATED, commercial
DIARY,Eggnog,180.0,,FROZEN, commercial
DIARY,Eggs,4.0,,REFRIGERATED," raw whites, yolks*"
DIARY,Eggs,30.0,,FROZEN," raw whites, yolks*"
DIARY,Eggs,7.0,,REFRIGERATED, hard cooked
DIARY,Kefir (fermented milk),7.0,unopened,REFRIGERATED,
DIARY,Kefir (fermented milk),2.0,opened,REFRIGERATED,
DIARY,Margarine,180.0,,REFRIGERATED,
DIARY,Milk,90.0,,FROZEN, plain or flavored
DIARY,Pudding,57.45,unopened,REFRIGERATED,
DIARY,Pudding,2.0,opened,REFRIGERATED,
DIARY,Sour cream,2.0,,REFRIGERATED,
DIARY,Sour cream,57.45,,FROZEN,
DIARY,Yogurt,1.0,,REFRIGERATED,
DIARY,Yogurt,60.0,,FROZEN,
DOUGH,Tube cans of biscuits,60.0,,REFRIGERATED," rolls, pizza dough, etc."
DOUGH,Ready-to-bake pie crust,60.0,,REFRIGERATED,
DOUGH,Ready-to-bake pie crust,60.0,,FROZEN,
DOUGH,Cookie dough,60.0,unopened,REFRIGERATED,
DOUGH,Cookie dough,60.0,opened,REFRIGERATED,
DOUGH,Cookie dough,60.0,,FROZEN,
PASTA,Pasta,2.0,,REFRIGERATED, fresh
PASTA,Pasta,31.0,,REFRIGERATED, fresh
PASTA,Pasta,60.0,,FROZEN, fresh
PESTO,Pesto or Sala,31.5,unopened,REFRIGERATED,
PESTO,Pesto or Sala,3.0,opened,REFRIGERATED,
PESTO,Pesto or Sala,60.0,,FROZEN,
SOY,Soy or rice beverage,1.0,,REFRIGERATED, refrigerated
SOY,Tofu,150.0,,FROZEN,
SOY,Miso,90.0,,REFRIGERATED,
FISH,Lean fish (cod,2.0,,REFRIGERATED," flounder, haddock, halibut, sole, etc.)"
FISH,Lean fish (cod,240.0,,FROZEN," flounder, haddock, halibut, sole, etc.)"
FISH,Lean fish (pollock,2.0,,REFRIGERATED," ocean perch, rockfish, sea trout)"
FISH,Lean fish (pollock,120.0,,FROZEN," ocean perch, rockfish, sea trout)"
FISH,Fatty fish (bluefish,2.0,,REFRIGERATED," mackerel, mullet, salmon, tuna, etc.)"
FISH,Fatty fish (bluefish,90.0,,FROZEN," mackerel, mullet, salmon, tuna, etc.)"
FISH,Caviar,28.0,unopened,REFRIGERATED," fresh, in jar"
FISH,Caviar,2.0,opened,REFRIGERATED," fresh, in jar"
FISH,Cooked fish,4.0,,REFRIGERATED, all
FISH,Cooked fish,60.0,,FROZEN, all
FISH,Surimi seafood,4.0,,REFRIGERATED,
FISH,Surimi seafood,68.67,,REFRIGERATED,
FISH,Surimi seafood,270.0,,FROZEN,
SHELLFISH,Shrimp,2.0,,REFRIGERATED," scallops, crayfish, squid"
SHELLFISH,Shrimp,180.0,,FROZEN," scallops, crayfish, squid"
SHELLFISH,Shucked clams,2.0,,REFRIGERATED, mussels and oysters
SHELLFISH,Shucked clams,120.0,,FROZEN, mussels and oysters
SHELLFISH,Crab meat,2.0,,REFRIGERATED, fresh
SHELLFISH,Crab meat,120.0,,FROZEN, fresh
SHELLFISH,Crab meat,180.0,unopened,REFRIGERATED, pasteurized
SHELLFISH,Crab meat,5.0,opened,REFRIGERATED, pasteurized
SHELLFISH,Crab meat,120.0,,FROZEN, pasteurized
SHELLFISH,Crab legs,5.0,,REFRIGERATED," king, dungeness, snow"
SHELLFISH,Crab legs,30.0,,FROZEN," king, dungeness, snow"
SHELLFISH,Live clams,2.0,,REFRIGERATED," mussels, crab and oysters"
SHELLFISH,Live clams,90.0,,FROZEN," mussels, crab and oysters"
SHELLFISH,Live lobsters,2.0,,REFRIGERATED,
SHELLFISH,Live lobsters,90.0,,FROZEN,
SHELLFISH,Lobster tails,2.0,,REFRIGERATED,
SHELLFISH,Lobster tails,180.0,,FROZEN,
SHELLFISH,Cooked shellfish,4.0,,REFRIGERATED, all
SHELLFISH,Cooked shellfish,90.0,,FROZEN, all
SMOKEDFISH,Herring,4.0,,REFRIGERATED,
SMOKEDFISH,Herring,60.0,,FROZEN,
SMOKEDFISH,Salmon,8.0,,REFRIGERATED," whitefish, cold-smoked"
SMOKEDFISH,Salmon,60.0,,FROZEN," whitefish, cold-smoked"
SMOKEDFISH,Salmon,1.0,,REFRIGERATED," whitefish, hot smoked"
SMOKEDFISH,Salmon,52.17,,REFRIGERATED," whitefish, hot smoked"
SMOKEDFISH,Salmon,180.0,vacuum pkg,FROZEN," whitefish, hot smoked"
FRESH_MEAT,Beef,5.0,,REFRIGERATED," lamb, pork or veal chops, steaks,roasts"
FRESH_MEAT,Beef,30.0,,FROZEN," lamb, pork or veal chops, steaks,roasts"
FRESH_MEAT,Ground meat,2.0,,REFRIGERATED,
FRESH_MEAT,Ground meat,120.0,,FROZEN,
FRESH_MEAT,Variety meats (liver,2.0,,REFRIGERATED," tongue, chitterlings, etc.)"
FRESH_MEAT,Variety meats (liver,120.0,,FROZEN," tongue, chitterlings, etc.)"
FRESH_MEAT,Cooked meats (after home cooking),4.0,,REFRIGERATED,
FRESH_MEAT,Cooked meats (after home cooking),90.0,,FROZEN,
PROCESSED_MEAT,Bacon,30.0,,FROZEN,
PROCESSED_MEAT,Corned beef,7.0,,REFRIGERATED, in pouch with pickling juices
PROCESSED_MEAT,Corned beef,30.0,,FROZEN, in pouch with pickling juices
PROCESSED_MEAT,Ham,7.0,,REFRIGERATED," fully cooked, whole"
PROCESSED_MEAT,Ham,60.0,,FROZEN," fully cooked, whole"
PROCESSED_MEAT,Ham,4.0,,REFRIGERATED," fully cooked, slices or half"
PROCESSED_MEAT,Ham,60.0,,FROZEN," fully cooked, slices or half"
PROCESSED_MEAT,Ham,7.0,,REFRIGERATED, cook before eating
PROCESSED_MEAT,Ham,60.0,,FROZEN, cook before eating
PROCESSED_MEAT,Hot dogs,14.0,,REFRIGERATED, sealed in package
PROCESSED_MEAT,Hot dogs,60.0,,FROZEN, sealed in package
PROCESSED_MEAT,Hot dogs,7.0,,REFRIGERATED, after opening
PROCESSED_MEAT,Hot dogs,60.0,,FROZEN, after opening
PROCESSED_MEAT,Lunch meats,14.0,,REFRIGERATED, sealed in package
PROCESSED_MEAT,Lunch meats,60.0,,FROZEN, sealed in package
PROCESSED_MEAT,Lunch meats,5.0,,REFRIGERATED, after opening
PROCESSED_MEAT,Lunch meats,60.0,,FROZEN, after opening
PROCESSED_MEAT,Sausage,2.0,,REFRIGERATED," raw, bulk type"
PROCESSED_MEAT,Sausage,60.0,,FROZEN," raw, bulk type"
PROCESSED_MEAT,Sausage,7.0,,REFRIGERATED," smoked links, patties"
PROCESSED_MEAT,Sausage,60.0,,FROZEN," smoked links, patties"
PROCESSED_MEAT,Sausage,21.0,,REFRIGERATED," hard, dry (pepperoni), sliced"
PROCESSED_MEAT,Sausage,60.0,,FROZEN," hard, dry (pepperoni), sliced"
FRESH_POULTRY,Chicken or turkey,2.0,,REFRIGERATED, whole
FRESH_POULTRY,Chicken or turkey,30.0,,FROZEN, whole
FRESH_POULTRY,Chicken or turkey,2.0,,REFRIGERATED, parts
FRESH_POULTRY,Chicken or turkey,270.0,,FROZEN, parts
FRESH_POULTRY,Duckling or goose,2.0,,REFRIGERATED, whole
FRESH_POULTRY,Duckling or goose,180.0,,FROZEN, whole
FRESH_POULTRY,Giblets,2.0,,REFRIGERATED,
FRESH_POULTRY,Giblets,120.0,,FROZEN,
PROCESSED_POULTRY,Chicken nuggets,2.0,,REFRIGERATED, patties
PROCESSED_POULTRY,Chicken nuggets,90.0,,FROZEN, patties
PROCESSED_POULTRY,Cooked poultry dishes,4.0,,REFRIGERATED,
PROCESSED_POULTRY,Cooked poultry dishes,180.0,,FROZEN,
PROCESSED_POULTRY,Fried chicken,4.0,,REFRIGERATED,
PROCESSED_POULTRY,Fried chicken,120.0,,FROZEN,
PROCESSED_POULTRY,Ground turkey or chicken,2.0,,REFRIGERATED,
PROCESSED_POULTRY,Ground turkey or chicken,120.0,,FROZEN,
PROCESSED_POULTRY,Lunch meats,14.0,,REFRIGERATED, sealed in package
PROCESSED_POULTRY,Lunch meats,60.0,,FROZEN, sealed in package
PROCESSED_POULTRY,Lunch meats,5.0,,REFRIGERATED, after opening
PROCESSED_POULTRY,Lunch meats,60.0,,FROZEN, after opening
PROCESSED_POULTRY,Pieces covered with broth or gravy,2.0,,REFRIGERATED,
PROCESSED_POULTRY,Pieces covered with broth or gravy,180.0,,FROZEN,
PROCESSED_POULTRY,Rotisserie chicken,4.0,,REFRIGERATED,
PROCESSED_POULTRY,Rotisserie chicken,120.0,,FROZEN,
FRUIT,Apples,21.0,,REFRIGERATED,
FRUIT,Apples,240.0,Cooked,FROZEN,
FRUIT,Apricots,3.0,,REFRIGERATED,
FRUIT,Avocados,4.0,,REFRIGERATED,
FRUIT,Bananas,2.0,skin will blacken,REFRIGERATED,
FRUIT,Bananas,30.0,Whole peeled,FROZEN,
FRUIT,Berries,2.0,,REFRIGERATED, cherries
FRUIT,Berries,120.0,,FROZEN, cherries
FRUIT,Citrus Fruit,14.0,,REFRIGERATED,
FRUIT,Coconuts,21.0,fresh,REFRIGERATED,
FRUIT,Coconuts,180.0,Shredded,FROZEN,
FRUIT,Grapes,7.0,,REFRIGERATED,
FRUIT,Grapes,30.0,Whole,FROZEN,
FRUIT,Kiwi Fruit,4.0,,REFRIGERATED,
FRUIT,Melons,4.0,,REFRIGERATED,
FRUIT,Melons,30.0,Balls,FROZEN,
FRUIT,Papaya,7.0,,REFRIGERATED, mango
FRUIT,Peaches,4.0,,REFRIGERATED, nectarines
FRUIT,Peaches,60.0,"Sliced, lemon juice & sugar",FROZEN, nectarines
FRUIT,Pears,4.0,,REFRIGERATED, Plums
VEGETABLES,Artichokes,14.0,,REFRIGERATED, whole
VEGETABLES,Asparagus,4.0,,REFRIGERATED,
VEGETABLES,Asparagus,240.0,,FROZEN,
VEGETABLES,Beans,4.0,,REFRIGERATED, green or wax
VEGETABLES,Beans,240.0,,FROZEN, green or wax
VEGETABLES,Beets,1.0,,REFRIGERATED,
VEGETABLES,Beets,240.0,,FROZEN,
VEGETABLES,Bok choy,3.0,,REFRIGERATED,
VEGETABLES,Bok choy,30.0,,FROZEN,
VEGETABLES,Broccoli,5.0,,REFRIGERATED," raab, rapini"
VEGETABLES,Broccoli,30.0,,FROZEN," raab, rapini"
VEGETABLES,Brussels sprouts,5.0,,REFRIGERATED,
VEGETABLES,Brussels sprouts,30.0,,FROZEN,
VEGETABLES,Cauliflower,5.0,,REFRIGERATED,
VEGETABLES,Cauliflower,30.0,,FROZEN,
VEGETABLES,Cabbage,14.0,,REFRIGERATED,
VEGETABLES,Cabbage,30.0,,FROZEN,
VEGETABLES,Carrots,21.0,,REFRIGERATED, parsnips
VEGETABLES,Carrots,30.0,,FROZEN, parsnips
VEGETABLES,Celery,14.0,,REFRIGERATED,
VEGETABLES,Celery,30.0,,FROZEN,
VEGETABLES,Corn on the cob,2.0,,REFRIGERATED,
VEGETABLES,Corn on the cob,240.0,,FROZEN,
VEGETABLES,Cucumbers,5.0,,REFRIGERATED,
VEGETABLES,Eggplant,4.0,,REFRIGERATED,
VEGETABLES,Eggplant,240.0,,FROZEN,
VEGETABLES,Garlic,14.0,,REFRIGERATED,
VEGETABLES,Garlic,30.0,,FROZEN,
VEGETABLES,Ginger Root,14.0,,REFRIGERATED,
VEGETABLES,Ginger Root,30.0,,FROZEN,
VEGETABLES,Greens,2.0,,REFRIGERATED,
VEGETABLES,Greens,30.0,,FROZEN,
VEGETABLES,Herbs,1.0,,REFRIGERATED, fresh
VEGETABLES,Herbs,60.0,,FROZEN, fresh
VEGETABLES,Leeks,14.0,,REFRIGERATED,
VEGETABLES,Leeks,30.0,,FROZEN,
VEGETABLES,Lettuce,14.0,,REFRIGERATED, iceberg
VEGETABLES,Lettuce,7.0,,REFRIGERATED, leaf
VEGETABLES,Mushrooms,3.0,,REFRIGERATED,
VEGETABLES,Mushrooms,30.0,,FROZEN,
VEGETABLES,Okra,3.0,,REFRIGERATED,
VEGETABLES,Okra,30.0,,FROZEN,
VEGETABLES,Onions,60.0,,REFRIGERATED, dry
VEGETABLES,Onions,30.0,,FROZEN, dry
VEGETABLES,Onions,14.0,,REFRIGERATED, Spring or green
VEGETABLES,Onions,30.0,,FROZEN, Spring or green
VEGETABLES,Parsley,7.0,,REFRIGERATED, cilantro
VEGETABLES,Parsley,60.0,,FROZEN, cilantro
VEGETABLES,Peppers,5.0,,REFRIGERATED, bell or chile
VEGETABLES,Peppers,240.0,,FROZEN, bell or chile
VEGETABLES,Potatoes,14.0,,REFRIGERATED,
VEGETABLES,Potatoes,30.0,Cooked and mashed,FROZEN,
VEGETABLES,Radishes,1.0,,REFRIGERATED,
VEGETABLES,Rutabagas,14.0,,REFRIGERATED,
VEGETABLES,Rutabagas,30.0,,FROZEN,
VEGETABLES,Spinach,2.0,,REFRIGERATED,
VEGETABLES,Spinach,30.0,,FROZEN,
VEGETABLES,Squash,5.0,,REFRIGERATED, summer
VEGETABLES,Squash,30.0,,FROZEN, summer
VEGETABLES,Squash,14.0,,REFRIGERATED, winter
VEGETABLES,Squash,30.0,,FROZEN, winter
VEGETABLES,Turnips,14.0,,REFRIGERATED,
VEGETABLES,Turnips,30.0,,FROZEN,
VEGETABLES,Tomatoes,3.0,,REFRIGERATED,
VEGETABLES,Tomatoes,60.0,,FROZEN,
FROZEN_ITEM,Bagels,60.0,,FROZEN,
FROZEN_ITEM,Bagels,14.0,,THAWED,
FROZEN_ITEM,Bread Dough,60.89,,FROZEN, commercial
FROZEN_ITEM,Bread Dough,7.0,After baking,THAWED, commercial
FROZEN_ITEM,Burritos,60.0,,FROZEN, sandwiches
FROZEN_ITEM,Burritos,4.0,,THAWED, sandwiches
FROZEN_ITEM,Egg substitutes,30.0,,FROZEN,
FROZEN_ITEM,Egg substitutes,60.89,,THAWED,
FROZEN_ITEM,Fish,180.0,,FROZEN, breaded
FROZEN_ITEM,Fish,180.0,,FROZEN, raw
FROZEN_ITEM,Fish,2.0,,THAWED, raw
FROZEN_ITEM,Fruit such as berries,180.0,,FROZEN, melons
FROZEN_ITEM,Fruit such as berries,5.0,,THAWED, melons
FROZEN_ITEM,Guacamole,120.0,,FROZEN,
FROZEN_ITEM,Guacamole,4.0,,THAWED,
FROZEN_ITEM,Ice cream,120.0,,FROZEN,
FROZEN_ITEM,Juice concentrates,30.0,,FROZEN,
FROZEN_ITEM,Juice concentrates,1.0,,THAWED,
FROZEN_ITEM,Lobster tails,90.0,,FROZEN,
FROZEN_ITEM,Lobster tails,2.0,,THAWED,
FROZEN_ITEM,Pancakes,60.0,,FROZEN, Waffles
FROZEN_ITEM,Pancakes,4.0,,THAWED, Waffles
FROZEN_ITEM,Sausages,60.0,,FROZEN, uncooked
FROZEN_ITEM,Sausages,2.0,,THAWED, uncooked
FROZEN_ITEM,Sausages,60.0,,FROZEN, precooked
FROZEN_ITEM,Sausages,7.0,,THAWED, precooked
FROZEN_ITEM,Sherbet,120.0,,FROZEN, sorbet
FROZEN_ITEM,Shrimp,30.0,,FROZEN, shellfish
FROZEN_ITEM,Shrimp,2.0,,THAWED, shellfish
FROZEN_ITEM,Soy crumbles and hotdogs,270.0,,FROZEN,
FROZEN_ITEM,Soy crumbles and hotdogs,4.0,,THAWED,
FROZEN_ITEM,Soy meat substitutes,30.0,,FROZEN,
FROZEN_ITEM,Soy meat substitutes,4.0,,THAWED,
FROZEN_ITEM,Tempeh,30.0,,FROZEN,
FROZEN_ITEM,Tempeh,14.0,,THAWED,
FROZEN_ITEM,Topping,180.0,,FROZEN, whipped
FROZEN_ITEM,Topping,14.0,,THAWED, whipped
FROZEN_ITEM,TV Dinners,90.0,,FROZEN," entrees,  breakfast"
FROZEN_ITEM,Vegetables,240.0,,FROZEN,
FROZEN_ITEM,Vegetables,4.0,,THAWED,
DELI_ITEM,Main dishes or meals,4.0,,REFRIGERATED, hot or refrigerated
DELI_ITEM,Main dishes or meals,90.0,,FROZEN, hot or refrigerated
DELI_ITEM,Meats covered with gravy or broth,2.0,,REFRIGERATED,
DELI_ITEM,Meats covered with gravy or broth,180.0,,FROZEN,
DELI_ITEM,Commercial brand vacuum packed dinners with USDA seal,14.0,,REFRIGERATED,
DELI_ITEM,Chicken,4.0,,REFRIGERATED, rotisserie or fried
DELI_ITEM,Chicken,120.0,,FROZEN, rotisserie or fried
DELI_ITEM,Luncheon meats,5.0,,REFRIGERATED, store-sliced
DELI_ITEM,Luncheon meats,60.0,,FROZEN, store-sliced
DELI_ITEM,Pate,2.0,,REFRIGERATED,
DELI_ITEM,Pate,60.0,,FROZEN,
DELI_ITEM,Cheese,28.0,,REFRIGERATED," store-sliced, hard cheese such as cheddar or swiss"
DELI_ITEM,Cheese,180.0,,FROZEN," store-sliced, hard cheese such as cheddar or swiss"
DELI_ITEM,Cheese,7.0,,REFRIGERATED," soft (such as brie, bel paese, goat cheese, fresh mozzarella)"
DELI_ITEM,Cheese,180.0,,FROZEN," soft (such as brie, bel paese, goat cheese, fresh mozzarella)"
DELI_ITEM,Salads containing meat,4.0,,REFRIGERATED," fish, poultry or eggs"
DELI_ITEM,Salads,5.0,,REFRIGERATED, vegetable
DELI_ITEM,Side dishes such as cooked vegetables,4.0,,REFRIGERATED, rice or potatoes
DELI_ITEM,Side dishes such as cooked vegetables,60.0,,FROZEN, rice or potatoes
DELI_ITEM,Olives,14.0,,REFRIGERATED,
DELI_ITEM,Pudding,46.92,unopened,REFRIGERATED,
DELI_ITEM,Pudding,2.0,opened,REFRIGERATED,
DELI_ITEM,Fruit,46.92,unopened,REFRIGERATED, cut
DELI_ITEM,Fruit,4.0,opened,REFRIGERATED, cut
DELI_ITEM,Cheesecake,7.0,,REFRIGERATED,
DELI_ITEM,Cheesecake,90.0,,FROZEN,
SHELF_ITEM,Baby food,3.0,opened,REFRIGERATED," jars or cans, fruits & vegetables"
SHELF_ITEM,Baby food,1.0,opened,REFRIGERATED, meats & eggs
SHELF_ITEM,Baby food,2.0,opened,REFRIGERATED, formula
SHELF_ITEM,Bacon Bits,232.77,opened,REFRIGERATED, Imitation
SHELF_ITEM,Canned goods,4.0,opened,REFRIGERATED," low acid (such as meat, poultry, fish, gravy, stew, soups, beans, carrots, corn, pasta, peas, potatoes, spinach)"
SHELF_ITEM,Canned goods,7.0,opened,REFRIGERATED," high acid (such as juices, fruit, pickles, sauerkraut, tomato soup, and foods in vinegar-based sauce)"
SHELF_ITEM,Coffee,120.0,,FROZEN, whole beans
SHELF_ITEM,Coffee,14.0,opened,REFRIGERATED, whole beans
SHELF_ITEM,Coffee,120.0,,FROZEN," non-vacuum bag ground, in cans"
SHELF_ITEM,Coffee,14.0,opened,REFRIGERATED," non-vacuum bag ground, in cans"
SHELF_ITEM,Coffee,120.0,,FROZEN," instant, jars and tins"
SHELF_ITEM,Coffee,14.0,opened,REFRIGERATED," instant, jars and tins"
BAKING,Cornmeal,30.0,opened,REFRIGERATED," regular, degerminated"
BAKING,Cornmeal,90.0,opened,REFRIGERATED, stone ground or blue
BAKING,Flour,240.0,opened,REFRIGERATED, whole wheat
BAKING,Frosting,7.0,opened,REFRIGERATED, canned
BAKING,Chocolate syrup,180.0,opened,REFRIGERATED,
CONDIMENTS,Barbecue sauce,120.0,opened,REFRIGERATED, bottled
CONDIMENTS,Ketchup,180.0,opened,REFRIGERATED, Cocktail or Chili sauce
CONDIMENTS,Chutney,60.0,opened,REFRIGERATED,
CONDIMENTS,Horseradish,120.0,opened,REFRIGERATED, in jar
CONDIMENTS,Mayonnaise,60.0,opened,REFRIGERATED, commercial
CONDIMENTS,Mustard,30.0,opened,REFRIGERATED,
CONDIMENTS,Olives,14.0,opened,REFRIGERATED, black and green
CONDIMENTS,Pickles,14.0,opened,REFRIGERATED,
CONDIMENTS,Salad Dressings,90.0,opened,REFRIGERATED," commercial, bottled"
CONDIMENTS,Salsa,30.0,opened,REFRIGERATED, picante & taco sauces
COOKIES,Cookies,30.0,opened,FROZEN, packaged
CRACKERS,Crackers,120.0,opened,FROZEN,
CRACKERS,Crackers,120.0,opened,REFRIGERATED,
SHELF_ITEM,Fruits,180.0,opened,REFRIGERATED, dried
